    40/299     8.06G   0.02505   0.01119   0.05287   0.08911        49       416    0.4398    0.3094     0.249    0.2097   0.02496   0.00428   0.05521
    41/299     8.06G   0.02494   0.01124   0.05246   0.08863        23       416    0.3606    0.3818    0.2698    0.2234   0.02422  0.004383   0.05395
    42/299     8.06G   0.02482   0.01096    0.0517   0.08747        29       416     0.276    0.4491    0.2789    0.2363   0.02477  0.004397    0.0531
    43/299     8.06G   0.02501   0.01106   0.05134   0.08741        37       416    0.4592    0.3533     0.287    0.2416   0.02418  0.004301   0.05227
    44/299     8.06G   0.02517   0.01099   0.05116   0.08732        24       416    0.2989    0.4468     0.308    0.2636   0.02472  0.004294   0.05407
    45/299     8.06G   0.02529   0.01122   0.05068   0.08718        26       416    0.2809    0.4209    0.2952    0.2487   0.02362   0.00425   0.05266
    46/299     8.06G   0.02474   0.01107   0.05034   0.08615        28       416     0.251    0.4984     0.324    0.2774     0.023  0.004244   0.05165
    47/299     8.06G   0.02481   0.01099   0.04933   0.08513        47       416    0.4099    0.4156    0.3605    0.3035   0.02411  0.004202   0.05137
    48/299     8.06G   0.02486   0.01097   0.04936   0.08518        36       416    0.4295    0.3908    0.3284    0.2826   0.02395  0.004284   0.05138
    49/299     8.06G   0.02489   0.01089   0.04833    0.0841        44       416    0.3419    0.4632     0.379     0.322   0.02357  0.004226      0.05
    50/299     8.06G    0.0249   0.01108   0.04752    0.0835        17       416    0.3676    0.4236    0.3635    0.3081   0.02392  0.004239   0.04912
    51/299     8.06G   0.02502   0.01088   0.04679   0.08269        25       416    0.4983    0.3639    0.3839     0.326   0.02417  0.004276   0.04857
    52/299     8.06G   0.02467   0.01082   0.04665   0.08214        26       416    0.3887    0.4568    0.3783    0.3217   0.02481  0.004336   0.04902
    53/299     8.06G    0.0248   0.01069    0.0459   0.08139        23       416    0.3512    0.5301    0.3902     0.331   0.02488  0.004287   0.04779
    54/299     8.06G   0.02462   0.01051    0.0459   0.08103        38       416    0.5276    0.3914    0.4161      0.35   0.02487  0.004249   0.04853
    55/299     8.06G   0.02492    0.0105   0.04526   0.08068        33       416    0.3341    0.4873    0.3923    0.3292   0.02393  0.004294   0.04978
    56/299     8.06G   0.02437   0.01084   0.04569   0.08089        23       416    0.3873    0.4723    0.4121    0.3546   0.02511  0.004189   0.04656
    57/299     8.06G   0.02465   0.01081   0.04405   0.07951        25       416    0.3199    0.5305    0.4167    0.3518   0.02476  0.004241   0.04538
